Functional Module,Primary Symptom,Secondary Symptom,Solution,Related Error Code,Query Page,Applicable Models,If not solved,Level,父记录
Hardware,Grass Catcher,Failed to Adjust Brush Motor,"1. Restart the RTK and the app, and check whether the issue is improved after upgrading the app and the firmware to the latest versions.
2. Remove the rolling brush for cleaning, and check whether the issue is improved.
3. Check the box firmware version and update it to v1.2.0.447.
4. Replace the grass collection module to check whether the issue is improved.",1210 Rolling brush motor adjustment failed,"1. Check the Device Profile and Self-check modules to confirm whether the robot's hardware connections are normal.
2. Based on the corresponding error code, preliminarily determine the type and possible cause of the robot's fault.","yuka 2024, yuka 2025",Needs Repair,,
Hardware,Grass Catcher,Brush Grass Clogging,1. Guide the user to clear any tangled grass.,"1210 Firmware version mismatch / grass tangled
500/532 Left/right grass-roller motor temperature abnormal
493/525 Left/right grass-collection motor overload
492/524 Left/right grass-collection motor controller overload
490 Grass-collection motor overcurrent","1. Check the Device Profile and Self-check modules to confirm whether the robot's hardware connections are normal.
2. Based on the corresponding error code, preliminarily determine the type and possible cause of the robot's fault.","yuka 2024, yuka 2025",Needs Repair,,
Hardware,Grass Catcher,Counterweight Use (Vehicle Front Lifts When Working with Grass Catcher),"1. Restart the RTK and the app, and check whether the issue is improved after upgrading the app and the firmware to the latest versions.
2. Check whether the counterweight has been installed on the vision module.
3. Use the app to check whether the slope during operation exceeds 10°. If so, consider whether removing the grass collection box improves the situation.",,"1. Check the Device Profile and Self-check modules to confirm whether the robot's hardware connections are normal.
2. Based on the corresponding error code, preliminarily determine the type and possible cause of the robot's fault.","yuka 2024, yuka 2025",Needs Repair,,
Hardware,Grass Catcher,Sinks into Grass Pile When Dumping,"1. Restart the RTK and the app, and check whether the issue is improved after upgrading the app and the firmware to the latest versions.
2. Check the grass discharge point settings. Disperse the grass discharge points and increase their number.",,"1. Check the Device Profile and Self-check modules to confirm whether the robot's hardware connections are normal.
2. Based on the corresponding error code, preliminarily determine the type and possible cause of the robot's fault.","yuka 2024, yuka 2025",Needs Repair,,
Hardware,Grass Catcher,Right Side Brush Bearing Detached,"1. Confirm that the rolling brush has a bearing on only one side, and confirm that the installation direction is correct.
2. Provide photos of the worn / missing bearing on the right end of the rolling brush, and consider whether the issue is improved after replacing the assembly.",,"1. Check the Device Profile and Self-check modules to confirm whether the robot's hardware connections are normal.
2. Based on the corresponding error code, preliminarily determine the type and possible cause of the robot's fault.","yuka 2024, yuka 2025",Needs Repair,,
Hardware,Grass Catcher,How to Distinguish Old vs New Grass Catcher,"1. Provide photos of the grass collection box port and confirm the cable shape.
2. If the cable is straight, the grass collection box needs rework. If the cable is curved, it is the new version grass collection box 2025.",,"1. Check the Device Profile and Self-check modules to confirm whether the robot's hardware connections are normal.
2. Based on the corresponding error code, preliminarily determine the type and possible cause of the robot's fault.","yuka 2024, yuka 2025",Needs Repair,,
Hardware,Grass Catcher,Brush / Roller Parts Missing / Damaged,"1. Confirm whether the damage type is wear at both ends of the rolling brush assembly, or wear of the grass collection box's main bracket.
2. If the rolling brush assembly is worn, send a replacement assembly.
3. If the main bracket is worn, replace the grass collection box directly.",,"1. Check the Device Profile and Self-check modules to confirm whether the robot's hardware connections are normal.
2. Based on the corresponding error code, preliminarily determine the type and possible cause of the robot's fault.","yuka 2024, yuka 2025",Needs Repair,,
Hardware,Electric Drive Issue,Electric Drive Communication Timeout,"1. Restart the RTK and the app, and check whether the issue is improved after upgrading the app and the firmware to the latest versions.
2. Power off the device and reconnect the safety key (up to three times) to check whether the issue is improved.",2821/2822 Electric drive communication timeout,"1. Check the Device Profile and Self-check modules to confirm whether the robot's hardware connections are normal.
2. Based on the corresponding error code, preliminarily determine the type and possible cause of the robot's fault.",,Needs Repair,,
Hardware,Front Wheel Stuck,Frequent Turning / Reversing,"1. Check whether errors such as 1030 and front wheel lifted are reported.
2. Check whether the two front wheels are stuck in the vertical direction. If so, use the lubricant provided with the device to lubricate the rotation axis position where the front wheels contact the chassis.","1201 Stuck
1030 Front wheel lifted","2. Based on the corresponding error code, preliminarily determine the type and possible cause of the robot's fault.",,Needs Repair,,
Quality Issue," Missing/Damaged/Defective Parts",Vision Module Damaged,"1. Confirm whether the damage is caused by human action or a natural disaster. If confirmed, the user needs to purchase the relevant parts again.
2. If the damage is not caused by human action or a natural disaster, ask about the cause of the damage and replace the vision module.",,,,Needs Repair,,
Quality Issue," Missing/Damaged/Defective Parts",Wheel Exterior Part Detached,"1. Provide a clear photo of the back of the exterior part, and ask about how the damage occurred.
2. If the damage is caused by human action, the user needs to purchase the part themselves. If it is not caused by human action, send the relevant part as a replacement.",,,"luba mini, luba mini LiDAR, luba mini2 1500 Lidar",Needs Repair,,
Quality Issue," Missing/Damaged/Defective Parts",Front Decorative Cover Damaged,"1. Provide a clear photo of the back of the exterior part, and ask about how the damage occurred.
2. If the damage is caused by human action, the user needs to purchase the part themselves. If it is not caused by human action, send the relevant part as a replacement.",,,"luba mini, luba mini LiDAR, luba mini2 1500 Lidar",Needs Repair,,
Quality Issue," Missing/Damaged/Defective Parts",Shock Absorber Broken from Falling,"1. Provide a clear photo of the back of the exterior part, and ask about how the damage occurred.
2. If the damage is caused by human action, the user needs to purchase the part themselves. If it is not caused by human action, send the relevant part as a replacement.",,,"luba mini, luba mini LiDAR, luba mini2 1500 Lidar",Needs Repair,,
Quality Issue," Missing/Damaged/Defective Parts",Garage Missing Parts,"1. Take and provide photos of all components, confirm whether the outer packaging was damaged upon receipt, and directly send a replacement garage.",,,,Needs Repair,,
Quality Issue," Missing/Damaged/Defective Parts",RTK Mounting Bracket Structure Abnormal,"1. Take and provide clear photos of the abnormal area.
2. Confirm whether it was damaged upon receipt, or was hit by the mower during operation.
3. If it was damaged upon receipt, send a new RTK pole assembly. If it was damaged during operation, still send a replacement, but it is recommended to install the RTK in a high position (open area, open sky view) when reinstalling, rather than directly on the lawn.",,,luba mini,Needs Repair,,
Quality Issue," Missing/Damaged/Defective Parts",Exterior Part Yellowing,"1. Collect photos of the yellowing, and verify the yellowing issue.
2. Send a replacement exterior part.",,,,Needs Repair,,
Quality Issue," Missing/Damaged/Defective Parts",Missing Cables / Accessories,"1. Determine the missing parts based on the photo / video / indicator information.
2. Arrange to send the missing parts as replacements.",,,,Needs Repair,,
Quality Issue," Missing/Damaged/Defective Parts",Garage Screws Damaged / Holes Misaligned,"1. Collect photos of the abnormal garage, and verify whether the garage screws are damaged or the holes are misaligned.
2. Send a replacement garage (no individual parts will be sent separately).",,,,Needs Repair,,
Quality Issue," Missing/Damaged/Defective Parts",Charging Station / Contact Pin Stuck,"1. Collect information about the abnormal charging station, and verify that the contact strip is stuck.
2. Send a replacement charging station.",,,,Needs Repair,,
Quality Issue," Missing/Damaged/Defective Parts",Charging Station Mounting Hole Damaged (High Wind),"1. Collect information about the abnormal charging station, and verify that the contact strip is stuck.
2. Send a replacement charging station.",,,,Needs Repair,,
Obstacle Avoidance,Obstacle Avoidance Abnormal,Obstacle Avoidance Not Working,"1. Confirm whether the obstacle-avoidance mode has been enabled.
2. If it is already enabled but the issue persists, check whether the abnormal obstacle-avoidance position is on the boundary (LUBA 1 does not avoid obstacles on the boundary position; it is recommended to keep a safe distance).",,"1. Check the Device Profile and Self-check modules to confirm whether the robot's hardware connections are normal.
2. Based on the corresponding error code, preliminarily determine the type and possible cause of the robot's fault.",,Needs FAE Upgrade,,
Obstacle Avoidance,Obstacle Avoidance Abnormal,Drove Under Vehicle,"1. Confirm whether the mower is within the working area. Place the device at least 1m outside the working area, and check whether the issue is resolved.
2. Confirm whether the obstacle-avoidance mode has been enabled.
3. Set the obstacle avoidance to ""less touch"" in the app and try again.",,"1. Check the Device Profile and Self-check modules to confirm whether the robot's hardware connections are normal.
2. Based on the corresponding error code, preliminarily determine the type and possible cause of the robot's fault.",,Needs FAE Upgrade,,
Obstacle Avoidance,Obstacle Avoidance Abnormal,Missed Mowing / Crosses Boundary Without Mowing,"1. Check whether any single cutter disk is not rotating. If so, check whether grass is tangled and clean it.
2. Check whether the boundary is too far away. Check whether positioning is normal, and re-draw / edit the map.",,"1. Check the Device Profile and Self-check modules to confirm whether the robot's hardware connections are normal.
2. Based on the corresponding error code, preliminarily determine the type and possible cause of the robot's fault.",,Needs FAE Upgrade,,
Obstacle Avoidance,Obstacle Avoidance Abnormal,Vision False Alarm (Also Missed Mowing),"1. Check whether the issue is improved after upgrading the app and the firmware to the latest versions.
2. Check whether there are any temporary obstacles on the lawn during operation.
3. Confirm that the LiDAR / vision module is not dirty. If it is, clean it.",,"1. Check the Device Profile and Self-check modules to confirm whether the robot's hardware connections are normal.
2. Based on the corresponding error code, preliminarily determine the type and possible cause of the robot's fault.",,Needs FAE Upgrade,,
Obstacle Avoidance,Obstacle Avoidance Abnormal,Mowing Path Abnormal Near Water Area,1. Provide photos of the environment and location of the abnormal path.,,"1. Check the Device Profile and Self-check modules to confirm whether the robot's hardware connections are normal.
2. Based on the corresponding error code, preliminarily determine the type and possible cause of the robot's fault.",,Needs FAE Upgrade,,
Obstacle Avoidance,Obstacle,Robot Stuck,"1. Collect photos of the stuck location and the surrounding environment, the time when the stuck occurred, and whether it always occurs at the same location.
2. If it always occurs at the same location, ensure that the mower does not operate beyond the boundary. The mower should not scrape against the map boundary. Set no-go zones for trees / poles / flower beds to avoid damage, and draw an obstacle-free zone at the stuck location.",1201/1203 Robot stuck and unable to continue moving,"1. Check the Device Profile and Self-check modules to confirm whether the robot's hardware connections are normal.
2. Based on the corresponding error code, preliminarily determine the type and possible cause of the robot's fault.",,Needs FAE Upgrade,,
Obstacle Avoidance,Obstacle,Path Blocked by Obstacle,"1. Verify the stuck location and the surrounding environment, and confirm whether there are any obvious obstacles.
2. If there are obvious obstacles, set an obstacle-free zone at the stuck location while ensuring that the device does not scrape against the boundary.",1214 Path blocked by obstacle,"1. Check the Device Profile and Self-check modules to confirm whether the robot's hardware connections are normal.
2. Based on the corresponding error code, preliminarily determine the type and possible cause of the robot's fault.",,Needs FAE Upgrade,,
Obstacle Avoidance,Bumper Bar,Bumper Bar Continuously Triggered,"1. Check the front bumper assembly: whether the four sides are lifted / visibly loose, whether the cable is connected, whether the screws are installed, etc.
2. After removing the front bumper, check whether error 1207 is still reported.",1207 Bumper bar persistently triggered,"1. Check the Device Profile and Self-check modules to confirm whether the robot's hardware connections are normal.
2. Based on the corresponding error code, preliminarily determine the type and possible cause of the robot's fault.",,Needs Repair,,
Obstacle Avoidance,Bumper Bar,App Shows Bumper Not Installed but It Actually Is,"1. Check whether the bumper is properly installed. After installation, confirm that the bumper indicator lights up normally.
2. Press the left / right side of the front bumper and check whether there is a normal beep sound.",,"1. Check the Device Profile and Self-check modules to confirm whether the robot's hardware connections are normal.
2. Based on the corresponding error code, preliminarily determine the type and possible cause of the robot's fault.",,Needs Repair,,
Obstacle Avoidance,Grass Catcher,Grass Catcher Hits Wall,1. Modify the boundary or draw a no-go zone in the area where collisions occur.,1028 Wheel slip / idling,"1. Check the Device Profile and Self-check modules to confirm whether the robot's hardware connections are normal.
2. Based on the corresponding error code, preliminarily determine the type and possible cause of the robot's fault.","yuka 2024, yuka 2025",Needs FAE Upgrade,,
Firmware & App,Firmware Issue,New Device Unusable / Base Station Red / No Positioning on Vehicle / Drive Board Disconnected,"1. Check whether the app is the latest version.
2. Connect to the phone hotspot and try the upgrade to see whether it succeeds.",,"1. Check the Device Profile and Self-check modules to confirm whether the robot's hardware connections are normal.
2. Based on the corresponding error code, preliminarily determine the type and possible cause of the robot's fault.",,Needs FAE Upgrade,,
Firmware & App,Firmware Issue,Map Disappeared / Tasks Gone / Cannot Position After Firmware Upgrade,"1. Check whether the ""Reset Base Station Position"" option was selected by mistake.
2. If so, after the base station position is reset, the map needs to be re-drawn.",,"1. Check the Device Profile and Self-check modules to confirm whether the robot's hardware connections are normal.
2. Based on the corresponding error code, preliminarily determine the type and possible cause of the robot's fault.",,Needs FAE Upgrade,,
Firmware & App,Firmware Issue,Cannot Position After Firmware Upgrade,"1. Verify whether a backup map exists. If the RTK base station position has not moved and a backup map exists, the map can be restored. Otherwise, the map needs to be re-drawn.
2. Restart the device and the RTK base station.",,"1. Check the Device Profile and Self-check modules to confirm whether the robot's hardware connections are normal.
2. Based on the corresponding error code, preliminarily determine the type and possible cause of the robot's fault.",,Needs FAE Upgrade,,
Firmware & App,Firmware Issue,Firmware Update Failed,1. Verify whether the issue is caused by the network. Test whether the upgrade succeeds when connecting to the phone's hotspot.,,"1. Check Update History to confirm the reason for the upgrade failure, and determine whether repair is required based on the reason.",,Needs FAE Upgrade,,
Firmware & App,App,FPV Unavailable / FPV Cannot Open / FPV White/Black Screen,"1. Confirm whether the device firmware and the app are the latest versions.
2. Confirm that the network signal is good.",,"1. Check the Device Profile and Self-check modules to confirm that the robot's hardware connections are normal.
2. Based on the corresponding error codes, preliminarily determine the type and possible cause of the robot's fault.",,Needs Repair,,
Firmware & App,App,App Crashes / UI Display Abnormal,"1. Confirm whether the device firmware and the app are the latest versions.
2. Try using the app on a different phone.",,,,Needs FAE Upgrade,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
